,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
32,False,/4UZtjrMEHJBOORNprBVzIP6yhRD.jpg,"[35, 10749]",36361,en,House Calls,"Charley is a surgeon who's recently lost his wife; he embarks on a tragicomic romantic quest with one woman after another until he meets up with Ann, a singular woman, closer to his own age, who immediately and unexpectedly captures his heart.",1.159,/9FY6Lm1FHIqKd0RDmGZWyHnaWG5.jpg,1978-03-15,House Calls,False,7.3,6
33,False,/2uvFzhyfiUihVhvkryhyojjAc99.jpg,"[28, 18, 27, 53]",10766,en,Damien: Omen II,"Since the sudden and highly suspicious death of his parents, 12-year-old Damien has been in the charge of his wealthy aunt and uncle (Lee Grant and William Holden). Widely feared to be the Antichrist, Damien relentlessly plots to seize control of his uncle's business empire - and the world. Meanwhile, anyone attempting to unravel the secrets of Damien's sinister past or fiendish future meets with a swift and cruel demise.",11.374,/gXpCjRUqgWDxufXqt34qyVweJnQ.jpg,1978-06-09,Damien: Omen II,False,6.2,294
34,False,/bh2oxs3WjVGOlOJExWDecMNgrrK.jpg,"[27, 9648, 878, 53]",11850,en,Invasion of the Body Snatchers,"The first remake of the paranoid infiltration classic moves the setting for the invasion, from a small town to the city of San Francisco and starts as Matthew Bennell notices that several of his friends are complaining that their close relatives are in some way different. When questioned later they themselves seem changed, as they deny everything or make lame excuses. As the invaders increase in number they become more open and Bennell, who has by now witnessed an attempted ""replacement"", realises that he and his friends must escape or suffer the same fate. But who can he trust to help him and who has already been snatched?",8.492,/skS02wdeH2C0nrbCQP3qKwJdZtZ.jpg,1978-12-20,Invasion of the Body Snatchers,False,7.3,425
35,False,/g6TLLIhxkQ16BZcDbBZ74S3hLCi.jpg,"[18, 10749, 35]",38731,en,An Unmarried Woman,A wealthy woman from Manhattan's Upper East Side struggles to deal with her new identity and her sexuality after her husband of 16 years leaves her for a younger woman.,4.094,/3HBWipP8b3joa4zjCeiwBT2F1IW.jpg,1978-05-26,An Unmarried Woman,False,6.7,25
36,False,/3b8GIGYA3UugEkDj7LT6VVXgm4i.jpg,"[27, 878, 53]",12611,en,The Fury,"A government agent is determined to come to his son's rescue, when a sinister official kidnaps him to harness his extremely powerful psychic abilities.",8.982,/u23CCG87bWtpnPuSLMWpLkdK75H.jpg,1978-03-10,The Fury,False,6.2,135
37,False,/3ngGXCx43Si2pEG22zxFr9HVkn1.jpg,"[28, 35]",9584,en,Convoy,"Truckers form a mile long ""convoy"" in support of a trucker's vendetta with an abusive sheriff...Based on the country song of same title by C.W. McCall.",11.89,/zpCy9R9tjD5sawsBk5TaXbFJhJz.jpg,1978-06-28,Convoy,False,6.2,137
38,False,/onEaK91jdn3hK6UbbCDgWkBylle.jpg,"[12, 10751, 14, 10402]",24961,en,The Wiz,"A Thanksgiving dinner brings a host of family together in a Harlem apartment, where a 24-year-old schoolteacher named Dorothy Gale (Diana Ross) lives with her Aunt Em (Theresa Merritt) and Uncle Henry (Stanley Greene). Extremely introverted, she has, as Aunt Em teases her, ""never been south of 125th Street"", and refuses to move out and on with her life.",6.018,/jdlmzPtiF8tAjY1iEvQIlm596Dp.jpg,1978-10-24,The Wiz,False,5.8,115
39,False,/2zs2d6b5pe9G8Q99QNngd0NtiW6.jpg,[35],4484,fr,La Cage aux folles,Two gay men living in St. Tropez have their lives turned upside down when the son of one of the men announces he is getting married. They try conceal their lifestyle and their ownership of the transvestite club downstairs when the fiancée and her parents come for dinner.,4.983,/c47NVaCRkPCmVdr1q60fpYA3OGp.jpg,1978-10-25,La Cage aux Folles,False,6.9,147
40,False,/ueJ8K4ik1UQKa3cVUa8RHfDDqL.jpg,"[28, 12, 878, 53]",698,en,Moonraker,"After Drax Industries' Moonraker space shuttle is hijacked, secret agent James Bond is assigned to investigate, traveling to California to meet the company's owner, the mysterious Hugo Drax. With the help of scientist Dr. Holly Goodhead, Bond soon uncovers Drax's nefarious plans for humanity, all the while fending off an old nemesis, Jaws, and venturing to Venice, Rio, the Amazon...and outer space.",17.241,/pz2r25q3NzNTDGygTYesq5mvwbz.jpg,1979-06-26,Moonraker,False,6.1,950
41,False,/xx9DyVNmehDJPrYGsy9AJgYzAtd.jpg,[18],1367,en,Rocky II,"After Rocky goes the distance with champ Apollo Creed, both try to put the fight behind them and move on. Rocky settles down with Adrian but can't put his life together outside the ring, while Creed seeks a rematch to restore his reputation. Soon enough, the ""Master of Disaster"" and the ""Italian Stallion"" are set on a collision course for a climactic battle that is brutal and unforgettable.",12.746,/fqJH7mI4dFANRay8qdJoGa7fK1k.jpg,1979-06-15,Rocky II,False,7.1,2199
42,False,/w9iSKX1GSlaPPASW7jSFkFkkDnz.jpg,"[12, 9648, 878]",152,en,Star Trek: The Motion Picture,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",16.08,/ys5Sgpc27mVo3H5zYLPV9LWDq5.jpg,1979-12-06,Star Trek: The Motion Picture,False,6.4,886
43,False,/aE33zDunu8FTj76IXqJmHVbcRWg.jpg,[18],12102,en,Kramer vs. Kramer,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy.",8.63,/oyYtH37h8rLUxlERoD49losVvlg.jpg,1979-12-19,Kramer vs. Kramer,False,7.5,1041
44,False,/dfNrZ82poQ8blHWJreIv6JZQ9JA.jpg,"[27, 878]",348,en,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",35.86,/2h00HrZs89SL3tXB4nbkiM7BKHs.jpg,1979-05-25,Alien,False,8.1,7992
45,False,/7ZyiMee2s7kARJ0IvJOIgTyvmdp.jpg,"[12, 28, 53, 878]",9659,en,Mad Max,"In a postapocalyptic future, jaded cop Max Rockatansky (Mel Gibson) is ready to retire. But his world is shattered when a malicious gang murders his family as an act of retaliation, forcing a devastated Max to hit the open road seeking vengeance. As he travels the Australian outback's empty stretches of highway, he tours the bloodstained battlegrounds ruled by marauding bikers who feed on violence.",14.988,/5LrI4GiCSrChgkdskVZiwv643Kg.jpg,1980-02-15,Mad Max,False,6.7,2220
46,False,/fTuOyNf8GO6R9EthS7v9ZqokNMN.jpg,"[18, 10752]",28,en,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",26.693,/jcvJ2xcVWU9Wh0hZAxcs103s8nN.jpg,1979-08-15,Apocalypse Now,False,8.2,4191
47,False,/s2z4t3y5gvFKId09smKOUq8I8gK.jpg,[27],11449,en,The Amityville Horror,"George Lutz and his wife Kathleen, move into their Long Island dream house with their children only for their lives to be turned into a hellish nightmare. The legacy of a murder committed in the house gradually affects the family and a priest is brought in to try and exorcise the demonic presence from their home.",9.137,/orociMcS1GExIcuiGbYYHlRlcL8.jpg,1979-07-27,The Amityville Horror,False,6.3,350
48,False,/bJMPdI1EfzkLPrgbBCCYrBXBY49.jpg,"[10402, 12, 35, 10751]",11176,en,The Muppet Movie,"Kermit the Frog is persuaded by agent Dom DeLuise to pursue a career in Hollywood. Along the way, Kermit picks up Fozzie Bear, Miss Piggy, Gonzo, and a motley crew of other Muppets with similar aspirations. Meanwhile, Kermit must elude the grasp of a frog-leg restaurant magnate.",8.608,/48Ve7uLDcPJFGaDnmYYdcV3Ve1M.jpg,1979-06-22,The Muppet Movie,False,7.1,264
49,False,/f0KcQlWKQfgJxIV365TFaFyXUVT.jpg,"[35, 10749]",9051,en,10,A Hollywood songwriter goes through a mid-life crisis and becomes infatuated with a sexy blonde newlywed.,10.671,/7GGpt49Q2c98zVz514mHlRjCpGy.jpg,1979-10-04,10,False,5.6,107
