,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
488,False,/9iUG3L5pJjfIJBaaCOl1ucdAM4e.jpg,"[28, 80, 53]",9705,en,Swordfish,"Rogue agent Gabriel Shear is determined to get his mitts on $9 billion stashed in a secret Drug Enforcement Administration account. He wants the cash to fight terrorism, but lacks the computer skills necessary to hack into the government mainframe. Enter Stanley Jobson, a n'er-do-well encryption expert who can log into anything.",19.314,/uJdI3eau8BHgTsrUbAeccnKn0ez.jpg,2001-06-07,Swordfish,False,6.2,1555
489,False,/ncF0ozvDnIVFzKF0J5iqwEIezRJ.jpg,"[28, 80, 53]",1535,en,Spy Game,"On the day of his retirement, a veteran CIA agent learns that his former protégé has been arrested in China, is sentenced to die the next morning in Beijing, and that the CIA is considering letting that happen to avoid an international scandal.",17.223,/hsb8hBeU3tkTX8SUYW6YYw6JPYD.jpg,2001-11-18,Spy Game,False,6.9,1054
490,False,/rusiQnUaorH0Z71hYMsrR8Ortrf.jpg,[35],8835,en,Legally Blonde,"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner from popping the question: Elle is too blonde.",10.417,/1gAnkZNAd3HqgWL7aqSOQFwt7D1.jpg,2001-07-13,Legally Blonde,False,6.4,1945
491,False,/trZlq0eB8V8R4r7au8yX7myNESa.jpg,[35],4248,en,Scary Movie 2,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue.",15.077,/tSGWhSResV2Cnqqr91TGKyZzf79.jpg,2001-07-04,Scary Movie 2,False,5.7,2429
492,False,/k9fMBC1MMgrt4w6IVuB7kTX3yqz.jpg,"[35, 10749]",9889,en,Shallow Hal,"A shallow man falls in love with a 300 pound woman because of her ""inner beauty"".",15.962,/xhdJKfDp7TihFcO5CF6BFY1xImE.jpg,2001-11-01,Shallow Hal,False,5.9,1598
493,False,/wFIg3BjUPwI58XMeouDEHtQYUDW.jpg,"[35, 10749]",11467,en,America's Sweethearts,"In the midst of a nasty public breakup of married movie stars, a studio publicist scrambles to put a cap on the escalating situation as the couple's latest film has found it's only print kidnapped by the director.",9.137,/zggrMP2Jay25WwzZJxDSRV3OPZX.jpg,2001-07-17,America's Sweethearts,False,5.6,470
494,False,/5NeeKtah1bFLpRwVpoDqP7cvV0N.jpg,"[35, 18]",233308,en,個爛賭的傳說,"Suki is a very devoted gambler. Whenever he goes to Macau, he buys a return ticket in advance, just in case he loses all his money. After breaking up with his girlfriend Cher, who couldn't bear his gambling anymore, Suki meets a girl called Princess Fragrance at a karaoke bar. They later meet again in Macau, both in the hands of a loan shark Brother Face, who threatens to kill them if they don't pay off their debts…",0.876,/bL6KcqAB1zvQGb3d35QhyvY9hif.jpg,2001-10-11,A Gambler's Story,False,6.5,1
495,False,/kohGZ3OqK31UYmf7b5fM5pB80VW.jpg,"[12, 18, 10749, 28]",9476,en,A Knight's Tale,"William Thatcher, a peasant, is sent to apprentice with a Knight named Hector as a young boy. Urged by his father to ""change his Stars"", he assumes Sir Hector's place in a tournament when Hector dies in the middle of it. He wins. With the other apprentices, he trains and assumes the title of Sir Ulrich von Lichtenstein.",12.473,/1ZUpkMivvlF0ZoyXQzHF4El3izv.jpg,2001-05-11,A Knight's Tale,False,6.8,1731
496,False,/cQ7y4GAwmDZAHev8IwOzA6Utr3z.jpg,"[28, 80, 9648, 53]",11371,en,The Score,An aging thief hopes to retire and live off his ill-gotten wealth when a young kid convinces him into doing one last heist.,12.306,/8d9HG9An0WOPNQywo99QyEptLHz.jpg,2001-07-13,The Score,False,6.7,809
497,False,/3LRjM5M5WidHKlRQuSvqRwU2Fjr.jpg,"[28, 80, 9648, 53]",2043,en,Along Came a Spider,"When a teacher kidnaps a girl from a prestigious school, homicide detective, Alex Cross takes the case and teams up with young security agent, Jezzie Flannigan in hope of finding the girl and stopping the brutal psychopath.",13.153,/1ZjDmPKMUtout8hR77qmK1llgls.jpg,2001-04-06,Along Came a Spider,False,6.3,797
498,False,/A1S9fBzc4Wepc6onnCd9eVR2FLp.jpg,"[28, 80, 18, 53]",2034,en,Training Day,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",24.59,/sDT2biSB7wzBJdXq9o3ldr7VfvY.jpg,2001-10-05,Training Day,False,7.4,2993
499,False,/AaOtoMzqWJPSNXPRKwbvqf6MbKo.jpg,[53],12103,en,Don't Say a Word,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret..",8.866,/qx3hgW9MqxsEEFjx4eSbpp1Fe2l.jpg,2001-09-28,Don't Say a Word,False,6.2,443
500,False,/a2Aj5ksEo2HOUH3FbGyZCtaJM4C.jpg,"[80, 18, 36]",3131,en,Gangs of New York,"It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",23.962,/lemqKtcCuAano5aqrzxYiKC8kkn.jpg,2002-12-19,Gangs of New York,False,7.2,3690
501,False,/zthVEHYYZd0psyAWGmWMyZuf646.jpg,"[53, 28, 18]",4614,en,The Sum of All Fears,"When the president of Russia suddenly dies, a man whose politics are virtually unknown succeeds him. The change in political leaders sparks paranoia among American CIA officials, so CIA director Bill Cabot recruits a young analyst to supply insight and advice on the situation. Then the unthinkable happens: a nuclear bomb explodes in a U.S. city, and America is quick to blame the Russians.",12.913,/k3ZJrGAccBocurYccRyD3aP6ltV.jpg,2002-05-31,The Sum of All Fears,False,6.2,790
502,False,/z1ePpG598FI2az9fZrvHmKbV5Tz.jpg,"[80, 18, 53]",4147,en,Road to Perdition,"Mike Sullivan works as a hit man for crime boss John Rooney. Sullivan views Rooney as a father figure, however after his son is witness to a killing, Mike Sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him.",10.741,/9C3VMy9HZ1VBhVHTadqg7pFh2ac.jpg,2002-07-12,Road to Perdition,False,7.3,1938
503,False,/yi9qxpSzuzZ42i04QmFfuCJyRCV.jpg,"[35, 10749]",11529,en,Sweet Home Alabama,"New York fashion designer, Melanie Carmichael suddenly finds herself engaged to the city's most eligible bachelor. But her past holds many secrets—including Jake, the redneck husband she married in high school, who refuses to divorce her. Bound and determined to end their contentious relationship once and for all, Melanie sneaks back home to Alabama to confront her past.",14.58,/698cbxq0SRwCdOPG5Bwi7JDk12d.jpg,2002-09-27,Sweet Home Alabama,False,6.3,817
504,False,/xC9DRxpKgqJKDYLa9mkNa74eX4q.jpg,"[18, 12, 28, 36]",79,zh,英雄,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,31.804,/xkJnow23eDxwQXB0iIWAWkBF47y.jpg,2002-12-19,Hero,False,7.5,1140
505,False,/tftsh2e2IDGW3601QYixa9fnHFm.jpg,"[14, 35, 10751]",9021,en,The Santa Clause 2,"Better watch out! The big guy in red is coming to town once again. This time, Scott Calvin -- also known as Santa Claus -- finds out there's an obscure clause in his contract requiring him to take on a wife. He has to leave the North Pole to fulfill his obligations, or else he'll be forced to give up his Yuletide gig.",6.773,/i7tbiDPIaa4VsQh1wWmbkY4zTRX.jpg,2002-10-31,The Santa Clause 2,False,5.6,665
506,False,/bDPs32HRBalnN8HyYMH0xoG4VIW.jpg,"[35, 10749]",2022,en,Mr. Deeds,"When Longfellow Deeds, a small-town pizzeria owner and poet, inherits $40 billion from his deceased uncle, he quickly begins rolling in a different kind of dough. Moving to the big city, Deeds finds himself besieged by opportunists all gunning for their piece of the pie. Babe, a television tabloid reporter, poses as an innocent small-town girl to do an exposé on Deeds.",14.361,/l3hmNjhxmqjXrvGNMMmeOmsyX3r.jpg,2002-06-28,Mr. Deeds,False,5.7,1250
507,False,/wiGez9vknlmmdF31bZyjV58gayH.jpg,"[10751, 12, 16, 35]",10996,en,Stuart Little 2,"Stuart, an adorable white mouse, still lives happily with his adoptive family, the Littles, on the east side of Manhattan's Central Park. More crazy mouse adventures are in store as Stuart, his human brother, George, and their mischievous cat, Snowbell, set out to rescue a friend.",9.485,/bbTU6npKQaUowoYzfcD4VSVrZbd.jpg,2002-07-19,Stuart Little 2,False,5.6,1365
508,False,/sP386SaCMTCz9ixvHpZtra0df49.jpg,"[28, 14, 12]",9334,en,The Scorpion King,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.",18.5,/xHHMo8Za53XK8qpsdarrxUoxBwn.jpg,2002-04-19,The Scorpion King,False,5.4,1759
509,False,/2n0kjNEI3uF0ju9H5jiE3rBk5C0.jpg,"[28, 14, 27, 53]",36586,en,Blade II,"A rare mutation has occurred within the vampire community - The Reaper. A vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans, transforming victims who are unlucky enough to survive into Reapers themselves. Blade is asked by the Vampire Nation for his help in preventing a nightmare plague that would wipe out both humans and vampires.",13.018,/jlURNpXCMK830CsGRd939PJLh8c.jpg,2002-03-22,Blade II,False,6.4,2696
510,False,/enycOzeSeV4BXbCSQ0ZZN8PXI0n.jpg,"[35, 18, 10749]",7303,en,Maid in Manhattan,"Marisa Ventura is a struggling single mom who works at a posh Manhattan hotel and dreams of a better life for her and her young son. One fateful day, hotel guest and senatorial candidate Christopher Marshall meets Marisa and mistakes her for a wealthy socialite. After an enchanting evening together, the two fall madly in love. But when Marisa's true identity is revealed, issues of class and social status threaten to separate them. Can two people from very different worlds overcome their differences and live happily ever after?",10.488,/3LQ4wKp4lF41yTTRSd6QdgD6eXO.jpg,2002-12-13,Maid in Manhattan,False,5.8,1051
511,False,/eC8TeqWgfyXi5gSkWwoRMh4Zd18.jpg,"[16, 10751]",11544,en,Lilo & Stitch,"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and 'ohana, the Hawaiian tradition of family.",14.439,/tVaEulzowKhMhDvHNNYb9rNEZPB.jpg,2002-06-21,Lilo & Stitch,False,7.4,3306
512,False,/9YwwUNJKUsJ4mOERvUK9ITP0Qou.jpg,"[35, 18, 10749]",245,en,About a Boy,"Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself off as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. But Will's hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus, in many ways his complete opposite.",12.613,/1kz4Q2v7cxwNnTfkjrujzWAVCne.jpg,2002-05-17,About a Boy,False,6.6,1290
513,False,/i0eOILDW8HipIkOUSKhB1dvZzNJ.jpg,"[28, 12, 878]",2135,en,The Time Machine,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds mankind divided into two warring races.",18.977,/3OzdAcb0ajibR4xvVTH6WkBTYWY.jpg,2002-03-04,The Time Machine,False,5.9,1147
